"תאריך","הגרלה","_1_","_2_","_3_","_4_","_5_","_6_","_7_","_8_","_9_","_10_","_11_","_12_","_13_","_14_","_15_","_16_","_17_","מספר_הזוכים_בפרס_הראשון"
"02/01/13","5956","01","13","20","22","24","31","33","39","40","41","44","50","55","58","60","66","68","1"
"01/01/13","5955","05","08","16","17","19","22","24","31","33","35","38","42","46","53","60","66","69","0"
"01/01/13","5954","14","15","18","19","20","21","23","26","27","28","34","41","47","52","55","57","66","0"
"31/12/12","5953","04","07","13","17","20","21","25","33","35","36","41","46","50","52","53","56","59","0"
"31/12/12","5952","05","06","11","17","18","39","40","41","42","43","45","48","52","54","59","62","67","1"
"30/12/12","5951","04","08","09","10","11","14","15","22","29","30","40","43","47","57","61","62","64","0"
"30/12/12","5950","04","10","15","17","18","22","23","24","31","35","36","38","39","48","64","67","69","0"
"29/12/12","5949","05","07","09","12","18","28","32","37","43","45","47","48","50","51","57","58","64","1"
"28/12/12","5948","03","06","12","14","20","21","28","29","33","41","42","45","48","57","60","67","68","2"
"27/12/12","5947","03","05","08","11","18","23","26","30","31","35","36","37","48","52","56","59","61","0"
"27/12/12","5946","01","13","15","19","24","25","27","32","34","47","52","55","56","62","64","67","69","0"
"26/12/12","5945","06","09","10","23","25","27","29","33","34","38","39","41","47","53","57","60","70","0"
"26/12/12","5944","02","08","20","24","27","28","30","31","34","43","45","49","50","52","54","68","69","1"
"25/12/12","5943","01","05","14","16","20","21","23","30","32","42","43","50","53","56","57","58","70","1"
"25/12/12","5942","02","03","04","07","08","10","13","21","22","25","28","34","62","64","65","68","70","0"
"24/12/12","5941","01","09","17","18","19","25","30","36","40","41","45","48","49","52","53","61","66","0"
"24/12/12","5940","06","10","12","13","24","27","28","34","35","38","45","46","47","50","52","61","68","0"
"23/12/12","5939","01","03","09","10","12","29","33","34","39","40","44","46","47","54","62","68","70","1"
"23/12/12","5938","01","03","07","12","17","18","21","31","32","33","36","39","41","44","59","63","70","0"
"22/12/12","5937","04","06","17","19","23","24","27","32","34","39","41","43","47","50","53","62","66","0"
"21/12/12","5936","03","13","14","15","20","28","32","36","37","39","44","50","52","56","59","64","69","0"
"20/12/12","5935","01","03","10","22","26","28","31","33","41","50","52","54","55","56","57","61","63","0"
"20/12/12","5934","02","03","18","19","22","26","31","35","40","44","47","50","51","56","57","58","61","0"
"19/12/12","5933","03","11","14","17","19","23","26","29","32","45","48","55","59","63","64","67","69","0"
"19/12/12","5932","06","12","13","18","24","26","27","32","37","38","47","51","52","53","55","60","70","0"
"18/12/12","5931","01","06","09","10","11","16","23","27","28","43","44","49","62","66","67","69","70","0"
"18/12/12","5930","06","10","12","15","20","30","34","36","45","49","55","58","59","60","64","65","66","1"
"17/12/12","5929","01","02","04","07","08","13","16","28","37","39","41","45","48","57","58","62","66","0"
"17/12/12","5928","01","03","05","07","11","15","17","22","24","31","32","34","36","39","56","61","65","2"
"16/12/12","5927","07","09","18","25","28","33","36","39","42","43","44","46","47","48","49","55","59","0"
"16/12/12","5926","02","03","07","10","16","18","22","27","34","44","45","48","51","52","54","56","67","0"
"15/12/12","5925","06","09","16","19","28","29","37","44","46","47","49","53","56","57","65","68","70","0"
"14/12/12","5924","06","09","10","14","15","27","33","35","42","43","48","53","54","57","63","64","68","0"
"13/12/12","5923","04","05","13","15","33","35","36","37","39","41","46","53","54","56","64","66","69","0"
"13/12/12","5922","06","08","10","18","19","29","43","44","46","49","50","51","60","61","63","68","69","0"
"12/12/12","5921","02","09","13","14","15","21","25","26","30","37","39","42","57","65","66","68","69","1"
"12/12/12","5920","02","11","12","16","18","20","30","33","35","39","43","44","45","52","56","68","70","0"
"11/12/12","5919","02","06","16","19","24","26","29","30","34","39","40","43","51","57","61","62","63","0"
"11/12/12","5918","02","09","18","21","30","31","32","34","36","37","48","54","59","60","64","65","68","0"
"10/12/12","5917","02","04","05","09","11","13","24","33","36","47","48","53","54","57","61","62","70","1"
